id,seed,DeltaRandom,DDecrease,D_t,B,LT,LS,LF,LL,delta,lobjval,lz1,lz2,fobjval,tot_runtime,gapf,best_it,himprov,solved
IR_B7000_D2333_F3_L12_T_10_seed_2,2,False,False,2333,7000,10,3,3,12,0.7,12475.33,8610.81,3864.53,335400.4,49.1,0.0,8,3.68,True
IR_B7000_D2333_F3_L12_T_10_seed_3,3,False,False,2333,7000,10,3,3,12,0.7,2420.03,0.0,2420.03,271643.0,13.43,0.0,4,1.64,True
IR_B7000_D2333_F3_L12_T_10_seed_4,4,False,False,2333,7000,10,3,3,12,0.7,15809.35,13111.47,2697.89,278675.15,265.11,0.0,27,47.27,True
IR_B10000_D3333_F3_L12_T_10_seed_0,0,False,False,3333,10000,10,3,3,12,0.7,41017.85,37403.37,3614.48,455438.1,363.78,0.0,11,1.86,True
IR_B10000_D3333_F3_L12_T_10_seed_1,1,False,False,3333,10000,10,3,3,12,0.7,20036.9,13716.0,6320.9,392152.0,486.32,0.0,27,2.25,True
IR_B10000_D3333_F3_L12_T_10_seed_2,2,False,False,3333,10000,10,3,3,12,0.7,12673.07,5711.77,6961.3,480210.14,138.68,0.0,16,0.71,True
IR_B10000_D3333_F3_L12_T_10_seed_3,3,False,False,3333,10000,10,3,3,12,0.7,6471.03,0.0,6471.03,388105.0,49.09,0.0,11,1.64,True
IR_B10000_D3333_F3_L12_T_10_seed_4,4,False,False,3333,10000,10,3,3,12,0.7,7465.96,2750.1,4715.85,399841.14,132.36,0.0,17,22.02,True
IR_B3000_D1000_F3_L4_T_15_seed_0,0,False,False,1000,3000,15,3,3,4,0.7,682.13,0.0,682.13,173575.0,21.12,0.0,19,0.0,True
IR_B3000_D1000_F3_L4_T_15_seed_1,1,False,False,1000,3000,15,3,3,4,0.7,1493.26,0.0,1493.26,175900.0,20.58,0.0,13,0.0,True
IR_B3000_D1000_F3_L4_T_15_seed_2,2,False,False,1000,3000,15,3,3,4,0.7,1644.78,544.96,1099.82,186700.46,0.0,0.0,1,0.0,True
IR_B3000_D1000_F3_L4_T_15_seed_3,3,False,False,1000,3000,15,3,3,4,0.7,698.37,0.0,698.37,193522.0,42.75,0.0,26,20.52,True
IR_B3000_D1000_F3_L4_T_15_seed_4,4,False,False,1000,3000,15,3,3,4,0.7,1213.48,0.0,1213.48,185903.0,23.12,0.0,18,0.0,True
IR_B5000_D1666_F3_L4_T_15_seed_0,0,False,False,1666,5000,15,3,3,4,0.7,1215.05,0.0,1215.05,289322.0,30.98,0.0,19,0.0,True
IR_B5000_D1666_F3_L4_T_15_seed_1,1,False,False,1666,5000,15,3,3,4,0.7,1653.7,0.0,1653.7,293268.0,22.82,0.0,14,0.03,True
IR_B5000_D1666_F3_L4_T_15_seed_2,2,False,False,1666,5000,15,3,3,4,0.7,8879.55,5815.39,3064.15,310901.4,22.32,0.0,11,0.0,True
IR_B5000_D1666_F3_L4_T_15_seed_3,3,False,False,1666,5000,15,3,3,4,0.7,1464.7,0.0,1464.7,322542.0,26.62,0.0,19,22.6,True
IR_B5000_D1666_F3_L4_T_15_seed_4,4,False,False,1666,5000,15,3,3,4,0.7,1501.29,0.0,1501.29,309776.0,0.24,0.0,2,0.0,True
IR_B7000_D2333_F3_L4_T_15_seed_0,0,False,False,2333,7000,15,3,3,4,0.7,1692.55,0.0,1692.55,405016.0,31.25,0.0,22,0.0,True
IR_B7000_D2333_F3_L4_T_15_seed_1,1,False,False,2333,7000,15,3,3,4,0.7,3146.5,0.0,3146.5,410542.0,50.95,0.0,28,0.27,True
IR_B7000_D2333_F3_L4_T_15_seed_2,2,False,False,2333,7000,15,3,3,4,0.7,6749.75,1630.09,5119.66,435607.59,0.0,0.0,1,0.0,True
IR_B7000_D2333_F3_L4_T_15_seed_3,3,False,False,2333,7000,15,3,3,4,0.7,2564.4,0.0,2564.4,451554.0,26.85,0.0,17,15.92,True
IR_B7000_D2333_F3_L4_T_15_seed_4,4,False,False,2333,7000,15,3,3,4,0.7,2043.51,0.0,2043.51,433671.0,31.61,0.0,23,0.0,True
IR_B10000_D3333_F3_L4_T_15_seed_0,0,False,False,3333,10000,15,3,3,4,0.7,1576.2,0.0,1576.2,578692.0,26.68,0.0,21,0.0,True
IR_B10000_D3333_F3_L4_T_15_seed_1,1,False,False,3333,10000,15,3,3,4,0.7,6188.36,0.0,6188.36,586580.0,0.0,0.0,1,0.03,True
IR_B10000_D3333_F3_L4_T_15_seed_2,2,False,False,3333,10000,15,3,3,4,0.7,8942.15,2820.66,6121.49,622338.78,2.8,0.0,2,0.0,True
